"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"KBVD576K","book","2022","Nauman, Felix; Herschel, Melanie","An Introduction to Duplicate Detection","","978-3-031-01835-0","","","","With the ever increasing volume of data, data quality problems abound. Multiple, yet different representations of the same real-world objects in data, duplicates, are one of the most intriguing data quality problems. The effects of such duplicates are detrimental; for instance, bank customers can obtain duplicate identities, inventory levels are monitored incorrectly, catalogs are mailed multiple times to the same household, etc. Automatically detecting duplicates is difficult: First, duplicate representations are usually not identical but slightly differ in their values. Second, in principle all pairs of records should be compared, which is infeasible for large volumes of data. This lecture examines closely the two main components to overcome these difficulties: (i) Similarity measures are used to automatically identify duplicates when comparing two records. Well-chosen similarity measures improve the effectiveness of duplicate detection. (ii) Algorithms are developed to perform on very large volumes of data in search for duplicates. Well-designed algorithms improve the efficiency of duplicate detection. Finally, we discuss methods to evaluate the success of duplicate detection. Table of Contents: Data Cleansing: Introduction and Motivation / Problem Definition / Similarity Functions / Duplicate Detection Algorithms / Evaluating Detection Success / Conclusion and Outlook / Bibliography","2022","2024-04-28 17:14:57","2024-10-12 21:58:59","","","84","","","","","","","","","","Springer Nature","","en","","","","","Google Books","","Google-Books-ID: DYdyEAAAQBAJ","","","https://books.google.cz/books?id=DYdyEAAAQBAJ","","Computers / Information Technology; Computers / Information Theory; Computers / Internet / General; Computers / Networking / General; Computers / Online Services; Computers / Programming / Algorithms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JNKHVCTV","journalArticle","2022","Albayrak, Osman Semih; Aytekin, Tevfik; Kalaycı, Tolga Ahmet","Duplicate product record detection engine for e-commerce platforms","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2021.116420","https://www.sciencedirect.com/science/article/pii/S0957417421017073","Having a clean product catalog and keeping it complying with the standards of the industry is one of the primary concerns of e-commerce companies. Integrating product data from multiple providers confronts the companies with a challenging issue: duplicate product records. Since it is possible to describe a product with a variety of different words, images and attributes, detecting duplicate product records is a difficult task to overcome. In this work, a novel duplicate record detection engine is proposed for an e-commerce company, Hepsiburada. The engine is developed based on a real-world dataset. In order to build a training set we use text similarity and domain-specific distance metrics for generating candidate duplicate product pairs which are then labeled by human experts. We performed extensive feature engineering and state-of-the-art classification models to determine whether any two products are duplicated or not. The experimental results show that our engine is able to detect duplicate product records with high precision and outperforms the accuracy of non-adaptive methodologies.","2022","2024-04-28 18:33:14","2024-10-12 21:58:54","2024-04-28 18:33:14","116420","","","193","","Expert Systems with Applications","","","","","","","","","","","","","ScienceDirect","","","","/Users/adamprchal/Zotero/storage/YM49TIQ5/S0957417421017073.html; /Users/adamprchal/Zotero/storage/WJ9J7GMD/Albayrak et al. - 2022 - Duplicate product record detection engine for e-co.pdf","","","Classification; Duplicate record detection; Feature engineering; Text similarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PVHPR8ZB","webpage","","","GIS Dictionary","","","","","https://support.esri.com/en-us/gis-dictionary/search","The GIS Dictionary provides definitions for GIS terms related to operations such as analysis, GIS modeling and web-based GIS, cartography, and Esri software.","","2024-04-28 18:40:53","2024-04-28 18:40:53","2024-04-28 18:40:53","","","","","","","","","","","","","","en-us","","","","","","","","","/Users/adamprchal/Zotero/storage/PH8EDS9C/search.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZ9NLA9G","webpage","","CleverMaps","Location Insights for Business","CleverMaps","","","","https://www.clevermaps.io","The CleverMaps platform provides location insights that help drive business decisions in banking, insurance, retail, delivery services, e-commerce, etc.","","2024-04-28 19:37:23","2024-04-29 07:29:06","2024-04-28 19:37:23","","","","","","","","","","","","","","en","","","","","","","","","/Users/adamprchal/Zotero/storage/BCABURHI/www.clevermaps.io.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MV3JCGIX","webpage","","","Tilores | Fuzzy Matching Algorithms for Data Deduplication and Linking","","","","","https://tilores.io/fuzzy-matching-algorithms","Submit two text strings to compare their similarity using a range of Fuzzy Matching algorithms offered by Tilores. Learn about what Fuzzy Matching is and how it works. No registration or logging required.","","2024-04-28 20:39:25","2024-04-28 20:39:25","2024-04-28 20:39:25","","","","","","","","","","","","","","en","","","","","","","","","/Users/adamprchal/Zotero/storage/5B6TM75N/fuzzy-matching-algorithms.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E7NN9QK7","journalArticle","2013","Draisbach, Uwe; Naumann, Felix","On Choosing Thresholds for Duplicate Detection","","","","","https://hpi.de/fileadmin/user_upload/fachgebiete/naumann/publications/2013/On_Choosing_Thresholds_for_Duplicate_Detection.pdf","Duplicate detection, i.e., the discovery of records that refer to the same real-world entity, is a task that usually depends on multiple input parameters by an expert. Most notably, an expert must specify some similarity measure and some threshold that declares duplicity for record pairs if their similarity surpasses it. Both are typically developed in a trial-and-error based manner with a given (sample) dataset.","2013","2024-04-28 21:04:16","2024-04-29 07:39:40","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/adamprchal/Zotero/storage/AXDD6WZ7/Draisbach and Naumann - On Choosing Thresholds for Duplicate Detection.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6XE9DAJ8","webpage","","TensorFlow","Machine learning education | TensorFlow","","","","","https://www.tensorflow.org/resources/learn-ml","Start your TensorFlow training by building a foundation in four learning areas: coding, math, ML theory, and how to build an ML project from start to finish.","","2024-04-29 07:09:07","2024-04-29 07:19:15","2024-04-29 07:09:07","","","","","","","","","","","","","","en","","","","","","","","","/Users/adamprchal/Zotero/storage/B9X4KNFD/learn-ml.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"586DQWUM","webpage","","Keras","Keras documentation: Getting started with Keras","","","","","https://keras.io/getting_started/","Keras documentation","","2024-04-29 07:09:13","2024-04-29 07:19:25","2024-04-29 07:09:13","","","","","","","Keras documentation","","","","","","","en","","","","","","","","","/Users/adamprchal/Zotero/storage/62PSYXZC/getting_started.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FXTW2WX7","book","2022","McGregor, Susan E.","Practical Python data wrangling and data quality","","978-1-4920-9150-9","","","","""The world around us is full of data that holds unique insights and valuable stories, and this book will help you uncover them. Whether you already work with data or want to learn more about its possibilities, the examples and techniques in this practical book will help you more easily clean, evaluate, and analyze data so that you can generate meaningful insights and compelling visualizations. Complementing foundational concepts with expert advice, author Susan E. McGregor provides the resources you need to extract, evaluate, and analyze a wide variety of data sources and formats, along with the tools to communicate your findings effectively. This book delivers a methodical, jargon-free way for data practitioners at any level, from true novices to seasoned professionals, to harness the power of data."" -- Back cover","2022","2024-04-29 07:10:39","2024-04-29 07:10:39","","","395","","","","","","","","","","O'Reilly Media. Inc","Sebastopol, CA","eng","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HAZDUIN3","book","2012","Christen, Peter","Data matching: concepts and techniques for record linkage, entity resolution, and duplicate detection","","978-3-642-43001-5 978-3-642-31163-5","","","","","2012","2024-04-29 07:12:50","2024-04-29 07:12:50","","","270","","","","","Data matching","Data-centric systems and applications","","","","Springer","Berlin Heidelberg","eng","","","","","K10plus ISBN","","","","/Users/adamprchal/Zotero/storage/FTT5MT8R/Christen - 2012 - Data matching concepts and techniques for record .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
